Country,Year,Type of event,Total affected,Total Damage
Nicaragua,2011,Flood,4311,0
Nicaragua,2011,Storm,1650,0
Nicaragua,2012,Drought,56925,0
Nicaragua,2012,Flood,9585,0
Nicaragua,2012,Storm,320,0
Nicaragua,2013,Drought,98037,0
Nicaragua,2013,Flood,51535,0
Nicaragua,2013,Storm,5695,5000
Pakistan,2002,Earthquake,26418,0
Pakistan,2002,Flood,323122,0
Pakistan,2002,Storm,33294,0
Pakistan,2003,Drought,7751,0
Pakistan,2003,Earthquake,66599,0
Pakistan,2003,Flood,2241624,0
Pakistan,2003,Storm,1627461,0
Pakistan,2004,Drought,4616,0
Pakistan,2004,Earthquake,78593,0
Pakistan,2004,Flood,1410967,0
Pakistan,2004,Storm,1282293,0
Pakistan,2005,Drought,674,0
Pakistan,2005,Earthquake,2465540,0
Pakistan,2005,Flood,1525258,0
Pakistan,2005,Storm,2632750,0
Pakistan,2006,Drought,4460,0
Pakistan,2006,Earthquake,4125,0
Pakistan,2006,Flood,1215431,0
Pakistan,2006,Storm,631829,0
Pakistan,2007,Drought,4664,0
Pakistan,2007,Earthquake,28642,0
Pakistan,2007,Flood,1884290,0
Pakistan,2007,Storm,602636,0
Pakistan,2008,Drought,4797,0
Pakistan,2008,Earthquake,324055,0
Pakistan,2008,Flood,513726,0
Pakistan,2008,Storm,734040,0
Pakistan,2009,Earthquake,103963,0
Pakistan,2009,Flood,294955,0
Pakistan,2009,Storm,78669,0
Pakistan,2010,Earthquake,24895,0
Pakistan,2010,Flood,1436179,0
Pakistan,2010,Storm,115075,0
Pakistan,2011,Earthquake,31496,0
Pakistan,2011,Flood,2628216,0
Pakistan,2011,Storm,243910,0
Pakistan,2012,Earthquake,90303,0
Pakistan,2012,Flood,785130,0
Pakistan,2012,Storm,215720,0
Pakistan,2013,Earthquake,439178,0
Pakistan,2013,Flood,429143,0
Pakistan,2013,Storm,247132,0
Pakistan,2014,Earthquake,19189,0
Pakistan,2014,Flood,158204,0
Pakistan,2014,Storm,1824314,0
Peru,2002,Earthquake,55,0
Peru,2002,Flood,7517,80000
Peru,2002,Storm,1318,8000
Peru,2003,Earthquake,1210,0
Peru,2003,Flood,2874,0
Peru,2003,Storm,432,160000
Peru,2004,Flood,9136,0
Peru,2004,Storm,1709,0
Peru,2005,Earthquake,760,0
Peru,2005,Flood,310,0
